Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,doi
"Ashok, Chithra; Palanimuthu, Dinesh; Selvadurai, SD; Varshini, Rudha; ",An apodictic review on recent approaches in enzyme technology,Biointerface Research Applied Chemistry,12,,3446-3471,2021,,https://doi.org/10.33263/BRIAC123.34463471
"Verma, Shivangi; Goswami, Sourav; Palanimuthu, Dinesh; Ghosh, Tarini Shankar; ",Gut Microbiota-Brain Axis in Healthy Ageing,Brain and Mental Health in Ageing,,,143-164,2024,Springer,https://doi.org/10.1007/978-3-031-68513-2_8
